1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
3 2 1 3 3 1 1 1 3 3 4 1 4 2 1 NA 3
3 1 2 4 4 4 4 NA 3 3 4 2 4 1 1 NA 4
4 4 4 4 4 2 2 NA 4 4 4 3 4 3 1 NA 4
3 2 2 4 3 2 2 4 4 4 3 2 4 3 2 NA 4
3 3 3 4 4 2 2 NA 4 3 4 2 4 4 2 NA 4
3 3 3 3 3 3 2 NA 3 2 3 2 3 3 3 NA 3
3 3 2 2 4 2 1 NA 3 3 3 2 4 NA 3 NA 4
3 3 2 2 4 2 1 3 3 4 4 1 4 3 1 NA 4
3 1 1 1 4 1 1 1 1 3 4 1 4 4 4 NA 3
2 2 2 4 4 3 2 2 4 4 3 2 4 2 1 NA 4
4 4 4 4 3 3 4 4 4 4 4 4 4 4 3 NA NA
3 3 3 3 4 3 3 NA 4 4 3 3 4 2 2 NA 4
4 4 2 3 4 3 2 NA 3 4 4 3 4 4 3 NA 3
3 3 3 3 3 3 2 3 3 3 4 2 4 3 3 NA 4
3 3 4 3 3 3 3 3 3 4 3 3 4 2 3 NA 4
3 3 3 4 4 3 3 3 4 4 4 3 4 4 4 NA 4 
3 4 4 4 4 4 4 4 4 4 3 4 4 4 4 NA 4
2 3 3 3 3 3 2 NA 3 4 3 3 4 3 2 NA 3
3 3 3 3 4 3 2 3 3 4 3 3 4 4 2 NA 4
3 3 3 3 3 3 3 NA 3 3 4 3 3 3 4 NA 4
3 3 2 4 4 3 2 4 3 4 3 3 4 3 2 NA 3
3 2 2 4 4 3 3 4 3 3 3 3 4 2 1 NA 4
3 3 3 3 4 4 4 4 4 4 4 3 4 3 3 NA 4
3 3 2 3 4 3 3 4 4 4 4 2 4 4 2 NA 3
